회차,추첨일,1,2,3,4,5,6,보너스
940,2020.12.05,3.0,15.0,20.0,22.0,24.0,41.0,11
939,2020.11.28,4.0,11.0,28.0,39.0,42.0,45.0,6
938,2020.11.21,4.0,8.0,10.0,16.0,31.0,36.0,9
937,2020.11.14,2.0,10.0,13.0,22.0,29.0,40.0,26
936,2020.11.07,7.0,11.0,13.0,17.0,18.0,29.0,43
935,2020.10.31,4.0,10.0,20.0,32.0,38.0,44.0,18
934,2020.10.24,1.0,3.0,30.0,33.0,36.0,39.0,12
933,2020.10.17,23.0,27.0,29.0,31.0,36.0,45.0,37
932,2020.10.10,1.0,6.0,15.0,36.0,37.0,38.0,5
931,2020.10.03,14.0,15.0,23.0,25.0,35.0,43.0,32
930,2020.09.26,8.0,21.0,25.0,38.0,39.0,44.0,28
929,2020.09.19,7.0,9.0,12.0,15.0,19.0,23.0,4
928,2020.09.12,3.0,4.0,10.0,20.0,28.0,44.0,30
927,2020.09.05,4.0,15.0,22.0,38.0,41.0,43.0,26
926,2020.08.29,10.0,16.0,18.0,20.0,25.0,31.0,6
925,2020.08.22,13.0,24.0,32.0,34.0,39.0,42.0,4
924,2020.08.15,3.0,11.0,34.0,42.0,43.0,44.0,13
923,2020.08.08,3.0,17.0,18.0,23.0,36.0,41.0,26
922,2020.08.01,2.0,6.0,13.0,17.0,27.0,43.0,36
921,2020.07.25,5.0,7.0,12.0,22.0,28.0,41.0,1
920,2020.07.18,2.0,3.0,26.0,33.0,34.0,43.0,29
919,2020.07.11,9.0,14.0,17.0,18.0,42.0,44.0,35
918,2020.07.04,7.0,11.0,12.0,31.0,33.0,38.0,5
917,2020.06.27,1.0,3.0,23.0,24.0,27.0,43.0,34
916,2020.06.20,6.0,21.0,22.0,32.0,35.0,36.0,17
915,2020.06.13,2.0,6.0,11.0,13.0,22.0,37.0,14
914,2020.06.06,16.0,19.0,24.0,33.0,42.0,44.0,27
913,2020.05.30,6.0,14.0,16.0,21.0,27.0,37.0,40
912,2020.05.23,5.0,8.0,18.0,21.0,22.0,38.0,10
911,2020.05.16,4.0,5.0,12.0,14.0,32.0,42.0,35
910,2020.05.09,1.0,11.0,17.0,27.0,35.0,39.0,31
909,2020.05.02,7.0,24.0,29.0,30.0,34.0,35.0,33
908,2020.04.25,3.0,16.0,21.0,22.0,23.0,44.0,30
907,2020.04.18,21.0,27.0,29.0,38.0,40.0,44.0,37
906,2020.04.11,2.0,5.0,14.0,28.0,31.0,32.0,20
905,2020.04.04,3.0,4.0,16.0,27.0,38.0,40.0,20
904,2020.03.28,2.0,6.0,8.0,26.0,43.0,45.0,11
903,2020.03.21,2.0,15.0,16.0,21.0,22.0,28.0,45
902,2020.03.14,7.0,19.0,23.0,24.0,36.0,39.0,30
901,2020.03.07,5.0,18.0,20.0,23.0,30.0,34.0,21
900,2020.02.29,7.0,13.0,16.0,18.0,35.0,38.0,14
899,2020.02.22,8.0,19.0,20.0,21.0,33.0,39.0,37
898,2020.02.15,18.0,21.0,28.0,35.0,37.0,42.0,17
897,2020.02.08,6.0,7.0,12.0,22.0,26.0,36.0,29
896,2020.02.01,5.0,12.0,25.0,26.0,38.0,45.0,23
895,2020.01.25,16.0,26.0,31.0,38.0,39.0,41.0,23
894,2020.01.18,19.0,32.0,37.0,40.0,41.0,43.0,45
893,2020.01.11,1.0,15.0,17.0,23.0,25.0,41.0,10
892,2020.01.04,4.0,9.0,17.0,18.0,26.0,42.0,36
891,2019.12.28,9.0,13.0,28.0,31.0,39.0,41.0,19
890,2019.12.21,1.0,4.0,14.0,18.0,29.0,37.0,6
889,2019.12.14,3.0,13.0,29.0,38.0,39.0,42.0,26
888,2019.12.07,3.0,7.0,12.0,31.0,34.0,38.0,32
887,2019.11.30,8.0,14.0,17.0,27.0,36.0,45.0,10
886,2019.11.23,19.0,23.0,28.0,37.0,42.0,45.0,2
885,2019.11.16,1.0,3.0,24.0,27.0,39.0,45.0,31
884,2019.11.09,4.0,14.0,23.0,28.0,37.0,45.0,17
883,2019.11.02,9.0,18.0,32.0,33.0,37.0,44.0,22
882,2019.10.26,18.0,34.0,39.0,43.0,44.0,45.0,23
881,2019.10.19,4.0,18.0,20.0,26.0,27.0,32.0,9
880,2019.10.12,7.0,17.0,19.0,23.0,24.0,45.0,38
879,2019.10.05,1.0,4.0,10.0,14.0,15.0,35.0,20
878,2019.09.28,2.0,6.0,11.0,16.0,25.0,31.0,3
877,2019.09.21,5.0,17.0,18.0,22.0,23.0,43.0,12
876,2019.09.14,5.0,16.0,21.0,26.0,34.0,42.0,24
875,2019.09.07,19.0,22.0,30.0,34.0,39.0,44.0,36
874,2019.08.31,1.0,15.0,19.0,23.0,28.0,42.0,32
873,2019.08.24,3.0,5.0,12.0,13.0,33.0,39.0,38
872,2019.08.17,2.0,4.0,30.0,32.0,33.0,43.0,29
871,2019.08.10,2.0,6.0,12.0,26.0,30.0,34.0,38
870,2019.08.03,21.0,25.0,30.0,32.0,40.0,42.0,31
